prompt_id,evaluator_id,layer_index,mean_distance_to_self_answer,min_distance_to_self_answer,max_distance_to_self_answer,distance_to_self_spread,mean_distance_to_centroid,allocation_spread,negative_mass_sum,positive_mass_sum
p016,Qwen/Qwen2.5-7B-Instruct::normal_03,16,18.744586944580078,15.108323097229004,22.169748306274414,7.06142520904541,11.26693344116211,0.6000000000000001,0.30000000000000004,0.7
p017,Qwen/Qwen2.5-7B-Instruct::normal_01,16,12.88854694366455,10.233766555786133,17.072092056274414,6.838325500488281,8.407258987426758,0.65,0.3,0.7
p017,Qwen/Qwen2.5-7B-Instruct::normal_02,16,13.212220191955566,10.056233406066895,15.881336212158203,5.825102806091309,7.778077125549316,0.75,0.25,0.75
p017,Qwen/Qwen2.5-7B-Instruct::normal_03,16,14.611366271972656,12.499815940856934,16.51384162902832,4.014025688171387,8.167287826538086,1.0,0.25,0.75
p017,Qwen/Qwen2.5-7B-Instruct::normal_04,16,12.775533676147461,10.584792137145996,17.71969223022461,7.134900093078613,8.589794158935547,0.6000000000000001,0.30000000000000004,0.7
p018,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.305505752563477,13.05362606048584,17.89850425720215,4.844878196716309,9.326013565063477,0.25,0.0,1.0
p018,Qwen/Qwen2.5-7B-Instruct::normal_02,16,15.564508438110352,13.26325511932373,17.648746490478516,4.385491371154785,9.527918815612793,0.6,0.15,0.85
p018,Qwen/Qwen2.5-7B-Instruct::normal_03,16,14.97860336303711,11.754317283630371,22.20086669921875,10.446549415588379,9.536397933959961,1.0,0.0,1.0
p018,Qwen/Qwen2.5-7B-Instruct::normal_04,16,15.007704734802246,13.349635124206543,18.786653518676758,5.437018394470215,9.236215591430664,0.7,0.4,0.6
p019,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.039755821228027,12.359843254089355,17.488849639892578,5.129006385803223,9.339693069458008,0.35,0.0,1.0
p019,Qwen/Qwen2.5-7B-Instruct::normal_02,16,14.984684944152832,13.008766174316406,16.75708770751953,3.748321533203125,9.469813346862793,0.65,0.25,0.75
p019,Qwen/Qwen2.5-7B-Instruct::normal_03,16,15.027469635009766,11.843143463134766,20.072351455688477,8.229207992553711,9.35356616973877,0.65,0.2,0.7999999999999999
p019,Qwen/Qwen2.5-7B-Instruct::normal_04,16,15.345130920410156,10.896965980529785,19.739013671875,8.842047691345215,9.07249641418457,0.75,0.25,0.75
p020,Qwen/Qwen2.5-7B-Instruct::normal_01,16,15.8934326171875,10.647879600524902,23.34459114074707,12.696711540222168,10.73480224609375,0.6000000000000001,0.35,0.65
p020,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.62128448486328,11.195208549499512,24.438478469848633,13.243269920349121,10.60737419128418,0.7,0.5,0.5
p020,Qwen/Qwen2.5-7B-Instruct::normal_03,16,16.835729598999023,10.90353012084961,25.44580841064453,14.542278289794922,11.228005409240723,0.6,0.25,0.75
p020,Qwen/Qwen2.5-7B-Instruct::normal_04,16,16.05937957763672,12.555601119995117,23.095157623291016,10.539556503295898,11.1788330078125,0.6,0.25,0.75
p021,Qwen/Qwen2.5-7B-Instruct::normal_01,16,15.356115341186523,14.499222755432129,16.134071350097656,1.6348485946655273,8.811086654663086,0.6,0.3,0.7
p021,Qwen/Qwen2.5-7B-Instruct::normal_02,16,14.50387191772461,12.437193870544434,15.731127738952637,3.293933868408203,8.189172744750977,0.65,0.30000000000000004,0.7
p021,Qwen/Qwen2.5-7B-Instruct::normal_03,16,14.691878318786621,12.075078964233398,15.95711898803711,3.882040023803711,8.244802474975586,0.6000000000000001,0.30000000000000004,0.7
