layer_index,layer_position,feature_family,feature_dim,target,kind,n_folds,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_balanced_accuracy,std_balanced_accuracy,mean_chosen_c,std_chosen_c,mean_chosen_alpha,std_chosen_alpha,mean_r2,std_r2,mean_rmse,std_rmse
16,0,pairwise_self_contrast_geometry,6,voter_allocation_centered,regression,5,,,,,,,,,2.0799999999999996,3.96,0.0820218620843071,0.06300426490804903,0.2313867616031203,0.013100571299930128
16,0,pairwise_self_contrast_geometry,6,voter_allocation_z,regression,5,,,,,,,,,2.0799999999999996,3.96,0.08806853195632951,0.06465553171065208,0.8265007400375148,0.029071080994573784
16,0,pairwise_self_contrast_geometry,6,voter_positive_mass,regression,5,,,,,,,,,4.24,4.714488307335166,0.06818574463221132,0.06288975779539085,0.1758877947167507,0.00756140677651958
16,0,pairwise_self_contrast_geometry,6,voter_negative_mass,regression,5,,,,,,,,,4.24,4.714488307335166,0.04471493134968037,0.02317628575665559,0.0871030408877184,0.007564347510594927
16,0,pairwise_self_contrast_geometry,6,voter_signed_abs_share,regression,5,,,,,,,,,4.0600000000000005,4.849989690710692,0.04375107726541161,0.05814033014593381,0.1329242593167959,0.007378987789162123
16,0,pairwise_self_contrast_geometry,6,voter_allocation_rank,regression,5,,,,,,,,,2.26,3.8856659660861226,0.10817800313120347,0.06998667178388338,1.0384012188347602,0.03854848473001741
16,0,pairwise_self_contrast_geometry,6,voter_borda_points,regression,5,,,,,,,,,0.1,0.0,0.022523149099776974,0.04019835193711772,1.0723159853703623,0.020088446624844814
16,0,pairwise_self_contrast_geometry,6,voter_borda_points_centered,regression,5,,,,,,,,,0.1,0.0,0.02252314909977702,0.04019835193711764,1.0723159853703623,0.020088446624844814
16,0,pairwise_self_contrast_geometry,6,voter_borda_points_z,regression,5,,,,,,,,,0.1,0.0,0.023093058522529318,0.041361630277692116,0.8557769475268969,0.018056084560332936
16,0,combined_scalar_geometry,19,voter_help_label,classification,5,0.569849685402317,0.03424677345596306,0.6011071802324492,0.032661981920961286,0.583024255039115,0.042689603862806506,0.26200000000000007,0.37064268507553205,,,,,,
16,0,combined_scalar_geometry,19,voter_hurt_label,classification,5,0.5814034386665966,0.021604783710003142,0.6439774801495584,0.026137822822836377,0.5959614593018923,0.024040767037136885,1.0,0.0,,,,,,
16,0,combined_scalar_geometry,19,voter_signed_top_choice,classification,5,0.7133321853585011,0.028143545344940905,0.7709432368533815,0.04136433537381942,0.6969254380522305,0.03897499957553165,0.82,0.36,,,,,,
16,0,combined_scalar_geometry,19,voter_best_pick_vote,classification,5,0.6725374537742959,0.03216872152442822,0.7138912101891604,0.045756199215266954,0.6782933499249288,0.03973939664360684,1.0,0.0,,,,,,
16,0,combined_scalar_geometry,19,voter_allocation,regression,5,,,,,,,,,100.0,0.0,0.09532958980340515,0.0328627579911882,0.24049027892625477,0.009769958018667629
16,0,combined_scalar_geometry,19,voter_allocation_centered,regression,5,,,,,,,,,42.04,47.4620100712138,0.10871803787930039,0.04029924324392066,0.22802154971030406,0.010484739393696934
16,0,combined_scalar_geometry,19,voter_allocation_z,regression,5,,,,,,,,,60.040000000000006,48.9408050608079,0.12077257584762409,0.04322429539360564,0.8118012481983812,0.019982530816502888
16,0,combined_scalar_geometry,19,voter_positive_mass,regression,5,,,,,,,,,80.2,39.6,0.10174301624378271,0.0413149808800296,0.17272805988376796,0.005668161171990404
16,0,combined_scalar_geometry,19,voter_negative_mass,regression,5,,,,,,,,,262.0,370.64268507553203,0.04405699951882869,0.011725783722984905,0.08712503238454193,0.007369731510001902
16,0,combined_scalar_geometry,19,voter_signed_abs_share,regression,5,,,,,,,,,80.2,39.6,0.08640732868468233,0.04657091474024006,0.1299177951267616,0.006393109942083152
16,0,combined_scalar_geometry,19,voter_allocation_rank,regression,5,,,,,,,,,22.059999999999995,39.15817156099094,0.14810858403744234,0.05865944819534882,1.0150409147711734,0.03308749423226063
16,0,combined_scalar_geometry,19,voter_borda_points,regression,5,,,,,,,,,40.059999999999995,48.9408050608079,0.06491337408558348,0.05154753807018304,1.0486027979762333,0.026662336616537306
16,0,combined_scalar_geometry,19,voter_borda_points_centered,regression,5,,,,,,,,,40.059999999999995,48.9408050608079,0.06491337408558354,0.051547538070183085,1.0486027979762333,0.026662336616537358
16,0,combined_scalar_geometry,19,voter_borda_points_z,regression,5,,,,,,,,,40.059999999999995,48.9408050608079,0.06497915830407053,0.051331555772356485,0.837099948157609,0.02300669612255326
16,0,combined_scalar_geometry_with_interactions,27,voter_help_label,classification,5,0.5607223565907777,0.02427006708494515,0.6022770658531519,0.03464812685723123,0.5774443993067224,0.03354657575423941,0.06400000000000002,0.04409081537009721,,,,,,
16,0,combined_scalar_geometry_with_interactions,27,voter_hurt_label,classification,5,0.5801308340782025,0.029302297007485104,0.6405089913912082,0.032389878231844235,0.6015263762352671,0.03240051980705412,0.442,0.45678879145618273,,,,,,
16,0,combined_scalar_geometry_with_interactions,27,voter_signed_top_choice,classification,5,0.722551282051282,0.02514593827445752,0.7661246614229632,0.04610245840121174,0.7031060154854473,0.036862544913254566,0.1,0.0,,,,,,
16,0,combined_scalar_geometry_with_interactions,27,voter_best_pick_vote,classification,5,0.6737949769528717,0.029874765297086138,0.7091960188703218,0.04400340737836215,0.6781981293560241,0.039483257183253906,0.6220000000000001,0.4638275541621045,,,,,,
16,0,combined_scalar_geometry_with_interactions,27,voter_allocation,regression,5,,,,,,,,,100.0,0.0,0.09435555039307823,0.03575997738517462,0.24061382244984975,0.009969056754719516
16,0,combined_scalar_geometry_with_interactions,27,voter_allocation_centered,regression,5,,,,,,,,,100.0,0.0,0.10875927169451552,0.041188976482820015,0.2280147832338791,0.010559786824595227
16,0,combined_scalar_geometry_with_interactions,27,voter_allocation_z,regression,5,,,,,,,,,100.0,0.0,0.12090536958900891,0.045792229585413936,0.8117107258082676,0.021134578681834815
16,0,combined_scalar_geometry_with_interactions,27,voter_positive_mass,regression,5,,,,,,,,,100.0,0.0,0.10419856756602312,0.04355979199212834,0.17249016559392932,0.005917282848541996
16,0,combined_scalar_geometry_with_interactions,27,voter_negative_mass,regression,5,,,,,,,,,280.0,360.0,0.04418924045310577,0.01245567473767016,0.08711337301661444,0.007302553489897799
16,0,combined_scalar_geometry_with_interactions,27,voter_signed_abs_share,regression,5,,,,,,,,,80.02000000000001,39.96,0.05770736267617456,0.07829647438493771,0.13182902186822867,0.006897968200914845
16,0,combined_scalar_geometry_with_interactions,27,voter_allocation_rank,regression,5,,,,,,,,,80.2,39.6,0.14386219059140623,0.060171556965416644,1.0175409907783632,0.033970190854833264
16,0,combined_scalar_geometry_with_interactions,27,voter_borda_points,regression,5,,,,,,,,,100.0,0.0,0.060605833838277244,0.04186587463054657,1.0511626226905197,0.020805797461981818
16,0,combined_scalar_geometry_with_interactions,27,voter_borda_points_centered,regression,5,,,,,,,,,100.0,0.0,0.060605833838277244,0.04186587463054657,1.0511626226905197,0.020805797461981818
16,0,combined_scalar_geometry_with_interactions,27,voter_borda_points_z,regression,5,,,,,,,,,100.0,0.0,0.06043090275615548,0.04216312126079597,0.8392402803515984,0.018776974416933552
